dct-at1,anon-inconnu,322.850098,1702039542353.475586,1702039542030.625488,520.600098,284
dct-at1,anon-inconnu,322.850098,1702039542353.559570,1702039542030.709473,520.600098,287
dnscry.pt-tokyo-ipv4,anon-openinternet,409.450195,1702039542362.889648,1702039541953.439453,520.600098,280
myserver,anon-gombadi-tokyo,382.400146,1702039542362.618164,1702039541980.218018,520.600098,281
dct-at1,anon-inconnu,322.850098,1702039542353.637207,1702039542030.787109,520.600098,291
saldns02-conoha-ipv4,anon-saldns01-conoha-ipv4,384.650146,1702039542362.828613,1702039541978.178467,520.600098,281
dct-at1,anon-openinternet,335.750000,1702039542354.638672,1702039542018.888672,520.600098,301
dnscry.pt-tokyo-ipv4,anon-saldns01-conoha-ipv4,361.750000,1702039542360.525391,1702039541998.775391,520.600098,319
dnscry.pt-tokyo-ipv4,anon-saldns02-conoha-ipv4,361.750000,1702039542360.592285,1702039541998.842285,520.600098,323
wevpn-singapore,anon-gombadi-tokyo,351.700195,1702039542359.079590,1702039542007.379395,520.600098,327
plan9dns-nj,anon-inconnu,362.200195,1702039542360.658936,1702039541998.458740,520.600098,328
wevpn-singapore,anon-gombadi-tokyo,351.700195,1702039542359.208740,1702039542007.508545,520.600098,335
wevpn-singapore,anon-gombadi-tokyo,351.700195,1702039542359.146484,1702039542007.446289,520.600098,338
dnscry.pt-hongkong-ipv4,anon-saldns01-conoha-ipv4,383.050049,1702039542362.748535,1702039541979.698486,520.600098,334
plan9dns-nj,anon-cs-nv,372.250000,1702039542361.603027,1702039541989.353027,520.600098,343
plan9dns-fl,anon-cs-nv,367.350098,1702039542361.086182,1702039541993.736084,520.600098,353
plan9dns-fl,anon-inconnu,345.250000,1702039542358.837402,1702039542013.587402,520.600098,361
plan9dns-fl,anon-cs-nv,367.350098,1702039542360.949951,1702039541993.599854,520.600098,363
dnscry.pt-singapore-ipv4,anon-saldns01-conoha-ipv4,329.650146,1702039542354.294922,1702039542024.644775,520.600098,377
dnscry.pt-singapore-ipv4,anon-saldns02-conoha-ipv4,328.150146,1702039542354.054443,1702039542025.904297,520.600098,380
jp.tiar.app,anon-saldns01-conoha-ipv4,334.700195,1702039542354.611572,1702039542019.911377,520.600098,379
dnscry.pt-singapore-ipv4,anon-saldns02-conoha-ipv4,328.150146,1702039542354.146973,1702039542025.996826,520.600098,383
sby-limotelu,anon-saldns02-conoha-ipv4,327.500000,1702039542353.975586,1702039542026.475586,520.600098,388
sby-limotelu,anon-saldns02-conoha-ipv4,327.500000,1702039542353.892578,1702039542026.392578,520.600098,385
wevpn-singapore,anon-tiarap,316.000000,1702039542352.399658,1702039542036.399658,520.600098,386
plan9dns-fl,anon-cs-nc,333.350098,1702039542354.451172,1702039542021.101074,520.600098,386
sby-limotelu,anon-gombadi-tokyo,327.150146,1702039542353.826660,1702039542026.676514,520.600098,387
plan9dns-fl,anon-cs-nc,333.350098,1702039542354.371338,1702039542021.021240,520.600098,383
dnscry.pt-hongkong-ipv4,anon-tiarap,316.900146,1702039542352.580566,1702039542035.680420,520.600098,394
wevpn-singapore,anon-tiarap,316.000000,1702039542352.493652,1702039542036.493652,520.600098,399
dnscry.pt-hongkong-ipv4,anon-tiarap,316.900146,1702039542352.672607,1702039542035.772461,520.600098,401
sby-limotelu,anon-gombadi-tokyo,327.150146,1702039542353.739502,1702039542026.589355,520.600098,404
plan9dns-fl,anon-inconnu,345.250000,1702039542358.717773,1702039542013.467773,520.600098,342
serbica,anon-cs-nv,340.100098,1702039542357.361816,1702039542017.261719,520.600098,416
scaleway-fr,anon-cs-nv,320.450195,1702039542353.242676,1702039542032.792480,520.600098,422
serbica,anon-cs-nv,340.100098,1702039542357.197266,1702039542017.097168,520.600098,419
dnscry.pt-tokyo-ipv4,anon-cs-il,344.950195,1702039542418.731445,1702039542073.781250,520.600098,356
wevpn-singapore,anon-cs-nc,317.200195,1702039542352.864014,1702039542035.663818,520.600098,423
wevpn-singapore,anon-cs-nc,317.200195,1702039542352.764648,1702039542035.564453,520.600098,423
scaleway-fr,anon-cs-nv,320.450195,1702039542353.410400,1702039542032.960205,520.600098,423
dnscry.pt-tokyo-ipv4,anon-cs-il,344.950195,1702039542358.626465,1702039542013.676270,520.600098,360
scaleway-fr,anon-cs-nv,320.450195,1702039542353.325684,1702039542032.875488,520.600098,428
pryv8boi,anon-openinternet,337.100098,1702039542354.651855,1702039542017.551758,520.600098,426
pryv8boi,anon-openinternet,337.100098,1702039542354.678467,1702039542017.578369,520.600098,427
dnscry.pt-singapore-ipv4,anon-saldns01-conoha-ipv4,329.650146,1702039542354.223877,1702039542024.573730,520.600098,451
dnscry.pt-sofia-ipv4,anon-cs-nv,216.000000,1702039542414.165771,1702039542198.165771,520.600098,394
deffer-dns.au,anon-openinternet,382.000000,1702039542362.547363,1702039541980.547363,520.600098,474
deffer-dns.au,anon-cs-nv,373.100098,1702039542361.887939,1702039541988.787842,520.600098,478
pryv8boi,anon-cs-nc,309.400146,1702039542416.443848,1702039542107.043701,520.600098,426
faelix-ch-ipv4,anon-inconnu,303.700195,1702039542415.973389,1702039542112.273193,520.600098,429
serbica,anon-cs-nc,312.550049,1702039542416.924316,1702039542104.374268,520.600098,428
faelix-ch-ipv4,anon-inconnu,303.700195,1702039542415.913574,1702039542112.213379,520.600098,430
faelix-uk-ipv4,anon-openinternet,305.500000,1702039542416.384766,1702039542110.884766,520.600098,430
